# Sheet: Version November 1, 2024
Part | Section | Abbreviations in Presentation | 英文 | 中文解释
1 | Introduction | Introduction | Introduction | 介绍
Always In Long | AIL | Always In Long | 一直看多：市场处于强烈的多头趋势，交易者应一直保持多头头寸。
Gap Down and Rally to a Buy Climax, but Became Bull Flag | GD BX F | Gap Down and Rally to a Buy Climax, but Became Bull Flag | 跳空下跌后反弹至买入高潮，但变为多头旗形：跳空下跌后反弹并达到买入高潮，但随后市场整理形成多头旗形，表明价格可能继续上涨。
Gap Down and Then Double Bottom | GD DB | Gap Down and Then Double Bottom | 跳空下跌后形成双重底：市场跳空下跌后，价格形成双重底，通常表示市场可能会反转上涨。
Gap Down, Double Bottom Failed | GD DB F | Gap Down, Double Bottom Failed | 跳空下跌，双重底失败：虽然形成了双重底形态，但未能有效反转，市场继续下行。
Gap Down and Then Rally to Double Top Bear Flag | GD DT | Gap Down and Then Rally to Double Top Bear Flag | 跳空下跌后反弹至双重顶部空头旗形：跳空下跌后，市场反弹并形成双重顶部空头旗形，暗示着可能会继续下行。
Gap Down and Double Top Bear Flag, but Failed and Reversed Up | GD DT F | Gap Down and Double Top Bear Flag, but Failed and Reversed Up | 跳空下跌并形成双重顶部空头旗形，但失败并反转上涨：尽管形成了空头旗形，但价格未能继续下行，反而反转上涨。
Gap Down and High 2 Buy Setup | GD H2 | Gap Down and High 2 Buy Setup | 跳空下跌后形成高二买入形态：跳空下跌后，市场形成一个高二买入形态，通常是反转信号，表明价格可能会反弹。
Gap Down and High 2 Buy Setup Failed, and Bear Trend Resumed | GD H2 F | Gap Down and High 2 Buy Setup Failed, and Bear Trend Resumed | 跳空下跌后形成高二买入形态失败，空头趋势恢复：高二买入形态未能成功，价格继续下跌，空头趋势恢复。
Gap Down and Low 2 Bear Flag | GD L2 | Gap Down and Low 2 Bear Flag | 跳空下跌后形成低二空头旗形：跳空下跌后，市场形成低二空头旗形，暗示着下跌趋势可能会延续。
Gap Down and Low 2 Top, but Failed and Reversed Up | GD L2 F | Gap Down and Low 2 Top, but Failed and Reversed Up | 跳空下跌后形成低二顶部，但失败并反转上涨：尽管形成了低二顶部，但未能维持，价格反转上涨。
6 | Gap Down and Opening Reversal Down From 60 min EMA | GD ORD 60ma | Gap Down and Opening Reversal Down From 60 min EMA | 跳空下跌后，从60分钟指数移动平均线反转下行：市场跳空下跌后，价格从60分钟的EMA水平反转下行，表明市场可能进入空头趋势。
Gap Down and Failed Opening Reversal Down From 60 min EMA | GD ORD 60ma F | Gap Down and Failed Opening Reversal Down From 60 min EMA | 跳空下跌后，从60分钟指数移动平均线反转下行失败：尝试从60分钟EMA反转下行未成功，价格可能继续震荡或反转上涨。
Big Gap Down in Stocks | GD Stocks | Big Gap Down in Stocks | 股票大幅跳空下跌：股票市场开盘时出现大幅跳空下跌，通常是由于重大负面消息或市场情绪变化。
Gap Down and Sell Climax, Then Reversal Up | GD SX | Gap Down and Sell Climax, Then Reversal Up | 跳空下跌后卖出高潮，然后反转上涨：市场在跳空下跌后形成卖出高潮，然后反转上涨，表明市场可能触底反弹。
Gap Down and Sell Climax, Then Reversal Up Failed | GD SX F | Gap Down and Sell Climax, Then Reversal Up Failed | 跳空下跌后卖出高潮，然后反转上涨失败：尽管出现了反转上涨的迹象，但未能持续，市场继续下跌。
Gap Down and Bear Trend From The Open | GD T1B D | Gap Down and Bear Trend From The Open | 跳空下跌后，从开盘开始进入空头趋势：市场开盘时出现跳空下跌，且未能反转，直接进入空头趋势。
Gap Down and Bear Trend From The Open, Then Reversal | GD T1B D Rev | Gap Down and Bear Trend From The Open, Then Reversal | 跳空下跌后，从开盘开始进入空头趋势，然后反转：尽管开盘后市场进入空头趋势，但随后出现反转，价格开始上涨。
Gap Down and Bear Trend From The Open, Then Trading Range | GD T1B D TR | Gap Down and Bear Trend From The Open, Then Trading Range | 跳空下跌后，从开盘开始进入空头趋势，然后进入震荡区间：开盘后的空头趋势可能会减弱，市场进入震荡区间整理。
Gap Down and Bull Trend From The Open | GD T1B U | Gap Down and Bull Trend From The Open | 跳空下跌后，从开盘开始进入多头趋势：开盘时出现跳空下跌，但随后市场反转并进入多头趋势。
Gap Down and Bull Trend From The Open, Then Reversal | GD T1B U Rev | Gap Down and Bull Trend From The Open, Then Reversal | 跳空下跌后，从开盘开始进入多头趋势，然后反转：市场开盘时进入多头趋势，但未能持续上涨，随后价格反转下行。
Gap Down and Bull Trend From The Open, Then Trading Range | GD T1B U TR | Gap Down and Bull Trend From The Open, Then Trading Range | 跳空下跌后，从开盘开始进入多头趋势，然后进入震荡区间：尽管开盘后出现多头趋势，但价格很快进入震荡整理区间。
Gap Down and Bull Trap | GD Trap BL | Gap Down and Bull Trap | 跳空下跌后形成多头陷阱：市场跳空下跌后出现短暂的反弹，但这只是一个多头陷阱，价格随后继续下跌。
Gap Down and Bear Trap | GD Trap BR | Gap Down and Bear Trap | 跳空下跌后形成空头陷阱：市场跳空下跌后，形成一个空头陷阱，价格随后反转上涨。
Gap Down and TR Open, and Trading Range Day | GD TRO and TR Day | Gap Down and TR Open, and Trading Range Day | 跳空下跌后震荡区间开盘，并形成震荡区间日：市场开盘时跳空下跌后进入震荡区间，全天维持震荡整理。
Gap Down, TR Open and Bull BO | GD TRO BL BO | Gap Down, TR Open and Bull BO | 跳空下跌后震荡区间开盘，并形成多头突破：市场在跳空下跌后进入震荡区间，并随后发生多头突破，价格开始上涨。
Gap Down, TR Open and Failed Bull BO | GD TRO BL BO F | Gap Down, TR Open and Failed Bull BO | 跳空下跌后震荡区间开盘，并且多头突破失败：尽管市场尝试突破，但多头突破未能成功，价格可能继续震荡或下行。
Gap Down, TR Open and Bear BO | GD TRO BR BO | Gap Down, TR Open and Bear BO | 跳空下跌后震荡区间开盘，并形成空头突破：市场在跳空下跌后进入震荡区间，并随后发生空头突破，价格开始下跌。
Gap Down, TR Open and Failed Bear BO | GD TRO BR BO F | Gap Down, TR Open and Failed Bear BO | 跳空下跌后震荡区间开盘，并且空头突破失败：空头突破未能成功，价格反转上涨，可能进入震荡区间。
Gap Down and TR Open, Triangle, Bull Breakout | GD TRO Tri BL BO | Gap Down and TR Open, Triangle, Bull Breakout | 跳空下跌后震荡区间开盘，并形成三角形，多头突破：市场进入震荡区间，随后形成三角形整理并发生多头突破，价格上涨。
Gap Down and TR Open, Triangle, Failed Bull Breakout | GD TRO Tri BL BO F | Gap Down and TR Open, Triangle, Failed Bull Breakout | 跳空下跌后震荡区间开盘，并形成三角形，多头突破失败：尽管形成了三角形整理，但多头突破未能成功，市场可能继续震荡或下跌。
Gap Down and TR Open, Triangle, Bear Breakout | GD TRO Tri BR BO | Gap Down and TR Open, Triangle, Bear Breakout | 跳空下跌后震荡区间开盘，并形成三角形，空头突破：市场在震荡区间内形成三角形整理，并发生空头突破，价格下跌。
Gap Down and TR Open, Triangle, Failed Bear Breakout | GD TRO Tri BR BO F | Gap Down and TR Open, Triangle, Failed Bear Breakout | 跳空下跌后震荡区间开盘，并形成三角形，空头突破失败：空头突破未能成功，市场可能反转上涨或进入震荡区间。
Gap Down and Wedge Bottom | GD W D BL BO | Gap Down and Wedge Bottom | 跳空下跌后形成楔形底部：跳空下跌后，市场形成楔形底部，通常预示着价格可能反转上涨。
Gap Down and Wedge Bottom, but Bull BO Failed | GD W D BL BO F | Gap Down and Wedge Bottom, but Bull BO Failed | 跳空下跌后形成楔形底部，但多头突破失败：虽然形成了楔形底部，但多头突破未能成功，市场可能继续下行。
Gap Down and Wedge Bottom, but Bear BO, and Bear Trend Resumed | GD W D BR BO | Gap Down and Wedge Bottom, but Bear BO, and Bear Trend Resumed | 跳空下跌后形成楔形底部，但空头突破，空头趋势恢复：虽然形成楔形底部，但发生空头突破，市场进入空头趋势。
Gap Down and Wedge Bottom, but Bear BO Failed, and Reversed Up | GD W D BR BO F | Gap Down and Wedge Bottom, but Bear BO Failed, and Reversed Up | 跳空下跌后形成楔形底部，但空头突破失败并
Gap Down and Parabolic Wedge Bottom | GD W D P | Gap Down and Parabolic Wedge Bottom | 跳空下跌后形成抛物线楔形底部：市场跳空下跌后，形成一个抛物线楔形底部，通常预示着市场可能反转上涨。
Gap Down and Failed Parabolic Wedge Bottom | GD W D P F | Gap Down and Failed Parabolic Wedge Bottom | 跳空下跌后抛物线楔形底部失败：尽管出现了抛物线楔形底部，但未能成功，价格继续下跌。
Gap Down and Rally to Wedge Top | GD W U BR BO | Gap Down and Rally to Wedge Top | 跳空下跌后反弹至楔形顶部：跳空下跌后，市场反弹并到达楔形顶部，可能会遇到阻力，形成整理或反转。
Gap Down and Rally to Wedge Top, but Bull BO, and Bull Trend Resumed | GD W U BL BO | Gap Down and Rally to Wedge Top, but Bull BO, and Bull Trend Resumed | 跳空下跌后反弹至楔形顶部，但发生多头突破，多头趋势恢复：尽管反弹至楔形顶部，但突破并恢复多头趋势，价格继续上涨。
Gap Down and Rally to Wedge Top, but Bull BO Failed, and Reversed Down | GD W U BL BO F | Gap Down and Rally to Wedge Top, but Bull BO Failed, and Reversed Down | 跳空下跌后反弹至楔形顶部，但多头突破失败并反转下跌：虽然反弹至楔形顶部，但多头突破失败，价格反转下跌。
Gap Down and Rally to Wedge Top, but Bear BO Failed | GD W U BR BO F | Gap Down and Rally to Wedge Top, but Bear BO Failed | 跳空下跌后反弹至楔形顶部，但空头突破失败：市场反弹并形成楔形顶部，但空头突破未能成功，价格可能继续整理或上涨。
Gap Down and Parabolic Wedge Top | GD W U P | Gap Down and Parabolic Wedge Top | 跳空下跌后形成抛物线楔形顶部：市场形成抛物线楔形顶部，通常是价格将反转的信号。
Gap Down and Failed Parabolic Wedge Top | GD W U P F | Gap Down and Failed Parabolic Wedge Top | 跳空下跌后抛物线楔形顶部失败：抛物线楔形顶部未能有效形成，价格可能继续震荡或下跌。
Globex High and Low | Globex H and L | Globex High and Low | Globex高点和低点：指的是在全球电子交易时段（Globex）形成的市场高点和低点，这些水平常常成为重要的支撑和阻力位。
7 | Gap Up, 4 Common Outcomes | GU 4 Common Outcomes | Gap Up, 4 Common Outcomes | 跳空上涨，四种常见结果：跳空上涨后，市场可能会经历四种常见的反应，如反转、旗形整理、双重底部或多头趋势的延续。
Gap Up and Reversal Down from Buy Climax | GU BX | Gap Up and Reversal Down from Buy Climax | 跳空上涨后从买入高潮反转下跌：市场跳空上涨后达到买入高潮，但随后出现反转并下跌，表明多头动力衰竭。
Gap Up and Reversal Down from Buy Climax, but Became Bull Flag | GU BX F | Gap Up and Reversal Down from Buy Climax, but Became Bull Flag | 跳空上涨后从买入高潮反转下跌，但变为多头旗形：尽管出现反转下跌，但市场随后整理形成多头旗形，可能预示价格继续上涨。
Gap Up and Double Bottom | GU DB | Gap Up and Double Bottom | 跳空上涨后形成双重底：跳空上涨后，市场形成双重底，通常预示着反转的可能性，价格可能上涨。
Gap Up and Double Bottom Failed | GU DB F | Gap Up and Double Bottom Failed | 跳空上涨后双重底失败：虽然形成了双重底形态，但未能成功反转，价格可能继续下跌。
Gap Up, Then Double Top | GU DT | Gap Up, Then Double Top | 跳空上涨后形成双重顶部：跳空上涨后，市场形成双重顶部形态，通常预示价格将反转下跌。
Gap Up, Double Top Failed | GU DT F | Gap Up, Double Top Failed | 跳空上涨后双重顶部失败：尽管形成了双重顶部形态，但未能有效反转，价格可能继续上涨或震荡整理。
Gap Up, Then High 2 Bull Flag | GU H2 | Gap Up, Then High 2 Bull Flag | 跳空上涨后形成高二多头旗形：市场跳空上涨后，形成高二多头旗形，预示着价格可能继续上涨。
Gap Up and Failed High 2 Bull Flag | GU H2 F | Gap Up and Failed High 2 Bull Flag | 跳空上涨后高二多头旗形失败：尽管形成了高二多头旗形，但未能有效突破，市场可能进入回调或震荡。
Gap Up and Low 2 Top | GU L2 | Gap Up and Low 2 Top | 跳空上涨后形成低二顶部：跳空上涨后，市场形成低二顶部，通常表示价格可能会反转下跌。
Gap Up and Failed Low 2 Top, Then Bull Trend Resumed | GU L2 F | Gap Up and Failed Low 2 Top, Then Bull Trend Resumed | 跳空上涨后形成低二顶部失败，然后多头趋势恢复：低二顶部未能成功，价格反转上涨，继续多头趋势。
8 | Gap Up and Opening Reversal Up From 60 min EMA | GU ORU 60ma | Gap Up and Opening Reversal Up From 60 min EMA | 跳空上涨后，从60分钟EMA反转上涨：市场跳空上涨后，价格从60分钟的EMA反转上涨，通常暗示价格可能继续上涨。
Gap Up and Failed Opening Reversal Up From 60 min EMA | GU ORU 60ma F | Gap Up and Failed Opening Reversal Up From 60 min EMA | 跳空上涨后，从60分钟EMA反转上涨失败：尝试从60分钟EMA反转上涨未能成功，价格可能回调或进入震荡区间。
Gap Up and Sell Climax, Then Reversal Up | GU SX | Gap Up and Sell Climax, Then Reversal Up | 跳空上涨后卖出高潮，然后反转上涨：跳空上涨后，市场进入卖出高潮并反转上涨，表明市场可能反转并进入多头趋势。
Gap Up and Sell Climax, Then Reversal Up, Failed | GU SX F | Gap Up and Sell Climax, Then Reversal Up, Failed | 跳空上涨后卖出高潮，然后反转上涨，失败：尽管有反转上涨的迹象，但未能成功，价格继续下行。
Gap Up and Bear Trend From The Open | GU T1B D | Gap Up and Bear Trend From The Open | 跳空上涨后，从开盘开始进入空头趋势：市场开盘时跳空上涨，但随后转入空头趋势。
Gap Up and Bear Trend From The Open, Then Reversal | GU T1B D Rev | Gap Up and Bear Trend From The Open, Then Reversal | 跳空上涨后，从开盘开始进入空头趋势，然后反转：市场开盘后空头趋势形成，但随后反转上涨，可能进入多头趋势。
Gap Up and Bear Trend From The Open Then Trading Range | GU T1B D TR | Gap Up and Bear Trend From The Open Then Trading Range | 跳空上涨后，从开盘开始进入空头趋势，然后进入震荡区间：开盘后空头趋势未能持续，市场进入震荡整理。
Gap Up and Bull Trend From The Open | GU T1B U | Gap Up and Bull Trend From The Open | 跳空上涨后，从开盘开始进入多头趋势：市场开盘时跳空上涨，并随之进入多头趋势，价格继续上涨。
Gap Up and Bull Trend From The Open, Then Reversal | GU T1B U Rev | Gap Up and Bull Trend From The Open, Then Reversal | 跳空上涨后，从开盘开始进入多头趋势，然后反转：尽管开盘后市场形成多头趋势，但随后价格反转下跌。
Gap Up and Bull Trend From The Open, Then Trading Range | GU T1B U TR | Gap Up and Bull Trend From The Open, Then Trading Range | 跳空上涨后，从开盘开始进入多头趋势，然后进入震荡区间：开盘时多头趋势未能持续，价格进入震荡整理区间。
Gap Up and Bull Trap | GU Trap BL | Gap Up and Bull Trap | 跳空上涨后形成多头陷阱：市场跳空上涨后，形成一个多头陷阱，价格随后反转下跌。
Gap Up and Bear Trap | GU Trap BR | Gap Up and Bear Trap | 跳空上涨后形成空头陷阱：市场跳空上涨后，形成一个空头陷阱，价格随后反转上涨。
Gap Up and TR Open, and Trading Range Day | GU TRO and TR Day | Gap Up and TR Open, and Trading Range Day | 跳空上涨后震荡区间开盘，并形成震荡区间日：市场开盘时跳空上涨，随后进入震荡区间整理，全天维持震荡走势。
Gap Up, TR Open and Bull BO | GU TRO BL BO | Gap Up, TR Open and Bull BO | 跳空上涨后震荡区间开盘，并形成多头突破：市场在震荡区间开盘后，发生多头突破，价格上涨。
Gap Up, TR Open and Failed Bull BO | GU TRO BL BO F | Gap Up, TR Open and Failed Bull BO | 跳空上涨后震荡区间开盘，并且多头突破失败：尽管市场尝试突破，但多头突破未能成功，价格可能继续震荡或下跌。
Gap Up, TR Open and Bear BO | GU TRO BR BO | Gap Up, TR Open and Bear BO | 跳空上涨后震荡区间开盘，并形成空头突破：市场在震荡区间开盘后，发生空头突破，价格下跌。
Gap Up, TR Open and Failed Bear BO | GU TRO BR BO F | Gap Up, TR Open and Failed Bear BO | 跳空上涨后震荡区间开盘，并且空头突破失败：空头突破未能成功，市场可能反转上涨。
Gap Up and TR Open, Triangle, Bull Breakout | GU TRO Tri BL BO | Gap Up and TR Open, Triangle, Bull Breakout | 跳空上涨后震荡区间开盘，并形成三角形，多头突破：市场形成三角形整理，随后发生多头突破，价格上涨。
Gap Up and TR Open, Triangle, Failed Bull Breakout | GU TRO Tri BL BO F | Gap Up and TR Open, Triangle, Failed Bull Breakout | 跳空上涨后震荡区间开盘，并形成三角形，多头突破失败：三角形整理后，市场未能突破，价格继续震荡或下跌。
Gap Up and TR Open, Triangle, Bear Breakout | GU TRO Tri BR BO | Gap Up and TR Open, Triangle, Bear Breakout | 跳空上涨后震荡区间开盘，并形成三角形，空头突破：市场在三角形整理后发生空头突破，价格下跌。
Gap Up and TR Open, Triangle, Failed Bear Breakout | GU TRO Tri BR BO F | Gap Up and TR Open, Triangle, Failed Bear Breakout | 跳空上涨后震荡区间开盘，并形成三角形，空头突破失败：空头突破未能成功，市场可能反转上涨或进入震荡区间。
Gap Up and Selloff to Wedge Bottom | GU W D BL BO | Gap Up and Selloff to Wedge Bottom | 跳空上涨后卖盘导致下跌至楔形底部：市场跳空上涨后，出现卖盘并下跌至楔形底部，可能会反转上涨。
Gap Up and Selloff to Wedge Bottom, but Bull BO Failed | GU W D BL BO F | Gap Up and Selloff to Wedge Bottom, but Bull BO Failed | 跳空上涨后卖盘导致下跌至楔形底部，但多头突破失败：虽然下跌至楔形底部，但多头突破未能成功，市场继续下行。
Gap Up and Selloff to Wedge Bottom, but Bear BO | GU W D BR BO | Gap Up and Selloff to Wedge Bottom, but Bear BO | 跳空上涨后卖盘导致下跌至楔形底部，但空头突破：市场下跌至楔形底部并发生空头突破，可能进入空头趋势。
Gap Up and Selloff to Wedge Bottom, but Bear BO Failed, and Bull Trend Resumed | GU W D BR BO F | Gap Up and Selloff to Wedge Bottom, but Bear BO Failed, and Bull Trend Resumed | 跳空上涨后卖盘导致下跌至楔形底部，但空头突破失败并且多头趋势恢复：空头突破未能成功，价格反转上涨，恢复多头趋势。
Gap Up and Parabolic Wedge Bottom | GU W D P | Gap Up and Parabolic Wedge Bottom | 跳空上涨后形成抛物线楔形底部：市场形成抛物线楔形底部，通常是一个反转信号，价格可能上涨。
Gap Up and Failed Parabolic Wedge Bottom | GU W D P F | Gap Up and Failed Parabolic Wedge Bottom | 跳空上涨后抛物线楔形底部失败：抛物线楔形底部未能有效形成，价格可能继续下跌。
Gap Up and Wedge Top | GU W U BR BO | Gap Up and Wedge Top | 跳空上涨后形成楔形顶部：市场形成楔形顶部，通常表示价格可能反转下跌。
Gap Up and Wedge Top, but Bull BO and Bull Trend Resumed | GU W U BL BO | Gap Up and Wedge Top, but Bull BO and Bull Trend Resumed | 跳空上涨后形成楔形顶部，但多头突破，多头趋势恢复：尽管形成楔形顶部，但多头突破成功，价格继续上涨。
Gap Up and Wedge Top, but Bull BO Failed, and Reversed Down | GU W U BL BO F | Gap Up and Wedge Top, but Bull BO Failed, and Reversed Down | 跳空上涨后形成楔形顶部，但多头突破失败并反转下跌：多头突破失败，价格反转下跌。
Gap Up and Rally to Wedge Top, but Bear BO Failed | GD W U BR BO F | Gap Up and Rally to Wedge Top, but Bear BO Failed | 跳空上涨后反弹至楔形顶部，但空头突破失败：价格反弹至楔形顶部，但空头突破未能成功，价格可能继续震荡或上涨。
Gap Up and Parabolic Wedge Top | GU W U P | Gap Up and Parabolic Wedge Top | 跳空上涨后形成抛物线楔形顶部：市场形成抛物线楔形顶部，通常预示价格将反转下跌。
Gap Up and Failed Parabolic Wedge Top | GU W U P F | Gap Up and Failed Parabolic Wedge Top | 跳空上涨后抛物线楔形顶部失败：抛物线楔形顶部未能有效形成，价格可能继续震荡或上涨。
9 | High 1 Bull Flag | H1 | High 1 Bull Flag | 高一多头旗形：在一个强势的上涨之后，市场进入一个小的整固区间，通常表现为一个倾斜的旗形，表明市场可能继续上涨。
High 2 and 3 Bull Flags and Bottoms | H2 and 3 | High 2 and 3 Bull Flags and Bottoms | 高二和高三多头旗形和底部：市场在高一多头旗形之后，形成更高阶的多头旗形或底部结构，通常是多头趋势的延续信号。
High 4 Bull Flags and Bottoms | H4 | High 4 Bull Flags and Bottoms | 高四多头旗形和底部：在进一步上涨后形成的多头旗形或底部结构，通常暗示着强劲的多头趋势仍将持续。
Head and Shoulders Bottom | HSB | Head and Shoulders Bottom | 头肩底：一种反转形态，表明市场在形成头部（最大的下跌）和两个肩部之后，可能会出现反转向上，开始新的上升趋势。
Failed Head and Shoulders Bottom | HSB F | Failed Head and Shoulders Bottom | 头肩底失败：尽管市场形成了头肩底形态，但价格未能有效反转向上，导致这个形态失败。
Head and Shoulders Top | HST | Head and Shoulders Top | 头肩顶：一种反转形态，表明市场在形成头部（最大的上涨）和两个肩部之后，可能会反转向下，开始新的下跌趋势。
Failed Head and Shoulders Top | HST F | Failed Head and Shoulders Top | 头肩顶失败：尽管市场形成了头肩顶形态，但价格未能有效反转向下，导致这个形态失败。
Higher Time Frame Buy and Sell Signals | HTF B and S Signals | Higher Time Frame Buy and Sell Signals | 高时间框架买卖信号：在较长时间框架（如日线、周线等）中出现的买入或卖出信号，通常被认为比短期信号更具有效性。
Higher Time Frame Charts | HTF Charts | Higher Time Frame Charts | 高时间框架图表：指较长时间周期（如日线、周线或月线）的图表，用于判断市场的总体趋势或主要支撑和阻力区域。
ii Consecutive Inside Bars, Bull Trend, Bull Breakout | ii BLT BL BO | ii Consecutive Inside Bars, Bull Trend, Bull Breakout | 连续的两根内部条形，处于多头趋势中，多头突破：在多头趋势中，出现连续两根内部条形（即每根K线的高低点都位于前一根K线内部），预示着可能的突破行情。
ii Consecutive Inside Bars, Bull Trend, Failed Bull Breakout | ii BLT BL BO F | ii Consecutive Inside Bars, Bull Trend, Failed Bull Breakout | 连续的两根内部条形，处于多头趋势中，多头突破失败：尽管在多头趋势中有连续两根内部条形，但未能成功突破，导致趋势未能延续。
ii Consecutive Inside Bars, Bull Trend, Bear Breakout | ii BLT BR BO | ii Consecutive Inside Bars, Bull Trend, Bear Breakout | 连续的两根内部条形，处于多头趋势中，空头突破：在多头趋势中，连续两根内部条形后发生空头突破，可能暗示趋势反转。
ii Consecutive Inside Bars, Bull Trend, Failed Bear Breakout | ii BLT BR BO F | ii Consecutive Inside Bars, Bull Trend, Failed Bear Breakout | 连续的两根内部条形，处于多头趋势中，空头突破失败：空头突破未能成功，价格可能反转上涨，继续保持多头趋势。
ii Consecutive Inside Bars, Bear Trend, Bull Breakout | ii BRT BL BO | ii Consecutive Inside Bars, Bear Trend, Bull Breakout | 连续的两根内部条形，处于空头趋势中，多头突破：在空头趋势中，连续两根内部条形后出现多头突破，可能标志着趋势反转。
ii Consecutive Inside Bars, Bear Trend, Failed Bull Breakout | ii BRT BL BO F | ii Consecutive Inside Bars, Bear Trend, Failed Bull Breakout | 连续的两根内部条形，处于空头趋势中，多头突破失败：多头突破未能成功，空头趋势可能延续。
ii Consecutive Inside Bars, Bear Trend, Bear Breakout | ii BRT BR BO | ii Consecutive Inside Bars, Bear Trend, Bear Breakout | 连续的两根内部条形，处于空头趋势中，空头突破：在空头趋势中，连续两根内部条形后发生空头突破，表明价格可能继续下跌。
ii Consecutive Inside Bars, Bear Trend, Failed Bear Breakout | ii BRT BR BO F | ii Consecutive Inside Bars, Bear Trend, Failed Bear Breakout | 连续的两根内部条形，处于空头趋势中，空头突破失败：尽管空头突破尝试失败，价格可能反转上涨，回到震荡或多头趋势。
ioi Inside, Outside, Inside Sell Signal | ioi D | ioi Inside, Outside, Inside Sell Signal | 内部、外部、内部卖出信号：这是一个反转卖出信号，其中价格先进入一个小的区间（内部条形），然后突破并形成外部条形，最后再进入内部条形。
ioi Inside, Outside, Inside Sell Signal, but Failed | ioi D F | ioi Inside, Outside, Inside Sell Signal, but Failed | 内部、外部、内部卖出信号，但失败：这个卖出信号未能成功，价格未能继续下跌，可能出现反转。
ioi Inside, Outside, Inside Buy Signal | ioi U | ioi Inside, Outside, Inside Buy Signal | 内部、外部、内部买入信号：这是一个反转买入信号，价格先进入一个小的区间（内部条形），然后突破并形成外部条形，最后再进入内部条形，表明可能有向上的反转。
ioi Inside, Outside, Inside Buy Signal, but Failed | ioi U F | ioi Inside, Outside, Inside Buy Signal, but Failed | 内部、外部、内部买入信号，但失败：尽管出现了买入信号，但价格未能反转向上，导致信号失败。
Inside Day | Inside Day | Inside Day | 内部日：当天的最高价和最低价都处于前一天的最高价和最低价之间，表明市场的震荡状态。
Inside Day But Late Breakout | Inside Day F | Inside Day But Late Breakout | 内部日，但后期突破：虽然是内部日，但市场在当天后期突破了这个区间，可能导致趋势变化。
Island Bottom | Island Bottom | Island Bottom | 岛底：指价格在图表上形成类似岛屿的底部结构，通常由一段明显的跳空或价格空白区域组成，表示可能的反转。
Island Bottom, but Gap Up Closed | Island Bottom F | Island Bottom, but Gap Up Closed | 岛底，但跳空上涨被填补：尽管出现岛底形态，但跳空上涨的区域被填补，表明反转的可能性减弱。
Island Top | Island Top | Island Top | 岛顶：指价格形成类似岛屿的顶部结构，通常由一段跳空区域或空白区域组成，可能预示着市场的顶部反转。
Island Top but Gap Down Closed | Island Top F | Island Top but Gap Down Closed | 岛顶，但跳空下跌被填补：尽管形成岛顶形态，但跳空下跌的区域被填补，表明反转信号可能无效。
Low 1 Bear Flag | L1 | Low 1 Bear Flag | 低一空头旗形：在空头趋势中，市场出现一个小的反弹，形成旗形整理，通常预示着空头趋势将继续。
Low 2 and 3 Bear Flags and Tops | L2 and 3 | Low 2 and 3 Bear Flags and Tops | 低二和低三空头旗形和顶部：在低一空头旗形之后，市场形成了更低阶的空头旗形或顶部结构，暗示空头趋势继续加剧。
Low 4 Bear Flags and Tops | L4 | Low 4 Bear Flags and Tops | 低四空头旗形和顶部：在空头趋势进一步发展的情况下，出现了更多的空头旗形或顶部结构，价格可能会继续下跌。
Ledge Bottom | Ledge Bottom | Ledge Bottom | 台阶底：价格形成阶梯状的底部结构，通常表示市场即将反转上涨，尤其是在低位形成台阶底时。
Ledge Top | Ledge Top | Ledge Top | 台阶顶：价格形成阶梯状的顶部结构，表明市场可能反转下跌，尤其是在高位形成台阶顶时。
Limit Down | Limit Down | Limit Down | 跌停：价格触及交易所规定的最低交易限额，无法进一步下跌，通常发生在市场恐慌时。
Limit Order Bears | Limit Order Bears | Limit Order Bears | 限价卖单空头：市场中的空头参与者以限价单进行卖出操作，通常表明空头有意控制市场下跌。
Limit Order Bulls | Limit Order Bulls | Limit Order Bulls | 限价买单多头：市场中的多头参与者以限价单进行买入操作，通常表明多头有意控制市场上涨。
Limit Order Market | Limit Order Market | Limit Order Market | 限价市场单：一种通过限价单在市场中执行的订单，通常用于获取更有利的价格执行。
Limit Up | Limit Up | Limit Up | 涨停：价格触及交易所规定的最高交易限额，无法进一步上涨，通常发生在市场极度乐观时。
Line Overshoot and Undershoot | Line Overshoot and Undershoot | Line Overshoot and Undershoot | 线条超越与未达：价格在支撑/阻力线附近波动，突破并超过该线（超越），或未能到达该线（未达），通常是市场震荡或短期波动的表现。
Long Liquidation | Long Liquidation | Long Liquidation | 长仓清算：指市场上的多头（长仓）被迫平仓，通常发生在价格下跌时，导致市场大幅回调。
10 | Moving Average 20 Gap Bar Buy | MA 20 GB B | Moving Average 20 Gap Bar Buy | 20周期移动平均线跳空买入：价格从20周期移动平均线附近跳空向上，表明强势买入信号，通常意味着短期内的上涨趋势。
Moving Average 20 Gap Bar Buy, Failed | MA 20 GB B F | Moving Average 20 Gap Bar Buy, Failed | 20周期移动平均线跳空买入失败：价格跳空向上突破20周期移动平均线，但未能维持上涨，最终形成反转或失败信号。
Moving Average 20 Gap Bar Sell | MA 20 GB S | Moving Average 20 Gap Bar Sell | 20周期移动平均线跳空卖出：价格从20周期移动平均线附近跳空向下，表明强势卖出信号，通常意味着短期内的下跌趋势。
